s,a,s',p_r,reward,number_occurrences
<>,START,<START>,1.0,0.0,2000
<A_ACCEPTED | 37>,A_FINALIZED,<A_FINALIZED | 2>,1.0,0.0,806
<O_CANCELLED | 22>,O_SELECTED,<O_SELECTED | 22>,1.0,0.0,4
<O_CANCELLED | 24>,O_SELECTED,<O_SELECTED | 19>,0.875,0.0,14
<O_CANCELLED | 24>,O_SELECTED,<O_SELECTED | 91>,0.125,0.0,2
<O_CANCELLED | 27>,O_SELECTED,<O_SELECTED | 34>,0.3333333333333333,0.0,1
<O_CANCELLED | 27>,O_SELECTED,<O_SELECTED | 88>,0.3333333333333333,0.0,1
<O_CANCELLED | 27>,O_SELECTED,<O_SELECTED | 99>,0.3333333333333333,0.0,1
<O_CANCELLED | 28>,O_SELECTED,<O_SELECTED | 28>,1.0,0.0,3
<O_CANCELLED | 31>,O_SELECTED,<O_SELECTED | 62>,0.6666666666666666,0.0,2
<O_CANCELLED | 31>,O_SELECTED,<O_SELECTED | 99>,0.3333333333333333,0.0,1
<O_CANCELLED | 34>,O_SELECTED,<O_SELECTED | 22>,0.5,0.0,1
<O_CANCELLED | 34>,O_SELECTED,<O_SELECTED | 34>,0.5,0.0,1
<O_CANCELLED | 42>,O_SELECTED,<O_SELECTED | 1>,0.2857142857142857,0.0,2
<O_CANCELLED | 42>,O_SELECTED,<O_SELECTED | 45>,0.42857142857142855,0.0,3
<O_CANCELLED | 42>,O_SELECTED,<O_SELECTED | 63>,0.2857142857142857,0.0,2
<O_CANCELLED | 45>,O_SELECTED,<O_SELECTED | 45>,0.8,0.0,4
<O_CANCELLED | 45>,O_SELECTED,<O_SELECTED | 66>,0.2,0.0,1
<O_CANCELLED | 46>,O_SELECTED,<O_SELECTED | 19>,1.0,0.0,5
<O_CANCELLED | 48>,O_SELECTED,<O_SELECTED | 48>,0.75,0.0,3
<O_CANCELLED | 48>,O_SELECTED,<O_SELECTED | 88>,0.25,0.0,1
<O_CANCELLED | 49>,O_SELECTED,<O_SELECTED | 21>,0.6666666666666666,0.0,4
<O_CANCELLED | 49>,O_SELECTED,<O_SELECTED | 96>,0.3333333333333333,0.0,2
<O_CANCELLED | 4>,O_SELECTED,<O_SELECTED | 34>,0.3333333333333333,0.0,1
<O_CANCELLED | 4>,O_SELECTED,<O_SELECTED | 4>,0.6666666666666666,0.0,2
<O_CANCELLED | 51>,O_SELECTED,<O_SELECTED | 45>,0.875,0.0,7
<O_CANCELLED | 51>,O_SELECTED,<O_SELECTED | 63>,0.125,0.0,1
<O_CANCELLED | 52>,O_SELECTED,<O_SELECTED | 22>,0.5,0.0,2
<O_CANCELLED | 52>,O_SELECTED,<O_SELECTED | 34>,0.25,0.0,1
<O_CANCELLED | 52>,O_SELECTED,<O_SELECTED | 92>,0.25,0.0,1
<O_CANCELLED | 58>,O_SELECTED,<O_SELECTED | 62>,0.25,0.0,1
<O_CANCELLED | 58>,O_SELECTED,<O_SELECTED | 64>,0.25,0.0,1
<O_CANCELLED | 58>,O_SELECTED,<O_SELECTED | 96>,0.5,0.0,2
<O_CANCELLED | 5>,O_SELECTED,<O_SELECTED | 63>,1.0,0.0,12
<O_CANCELLED | 60>,O_SELECTED,<O_SELECTED | 60>,0.5,0.0,1
<O_CANCELLED | 60>,O_SELECTED,<O_SELECTED | 63>,0.5,0.0,1
<O_CANCELLED | 62>,O_SELECTED,<O_SELECTED | 62>,0.4,0.0,2
<O_CANCELLED | 62>,O_SELECTED,<O_SELECTED | 99>,0.6,0.0,3
<O_CANCELLED | 64>,O_SELECTED,<O_SELECTED | 62>,0.14285714285714285,0.0,1
<O_CANCELLED | 64>,O_SELECTED,<O_SELECTED | 64>,0.8571428571428571,0.0,6
<O_CANCELLED | 66>,O_SELECTED,<O_SELECTED | 64>,0.3333333333333333,0.0,1
<O_CANCELLED | 66>,O_SELECTED,<O_SELECTED | 66>,0.6666666666666666,0.0,2
<O_CANCELLED | 70>,O_SELECTED,<O_SELECTED | 1>,1.0,0.0,5
<O_CANCELLED | 71>,O_SELECTED,<O_SELECTED | 48>,1.0,0.0,2
<O_CANCELLED | 73>,O_SELECTED,<O_SELECTED | 63>,1.0,0.0,18
<O_CANCELLED | 79>,O_SELECTED,<O_SELECTED | 19>,1.0,0.0,2
<O_CANCELLED | 82>,O_SELECTED,<O_SELECTED | 91>,1.0,0.0,10
<O_CANCELLED | 83>,O_SELECTED,<O_SELECTED | 83>,0.5,0.0,1
<O_CANCELLED | 83>,O_SELECTED,<O_SELECTED | 88>,0.5,0.0,1
<O_CANCELLED | 84>,O_SELECTED,<O_SELECTED | 1>,1.0,0.0,13
<O_CANCELLED | 88>,O_SELECTED,<O_SELECTED | 88>,1.0,0.0,5
<O_CANCELLED | 8>,O_SELECTED,<O_SELECTED | 8>,1.0,0.0,1
<O_CANCELLED | 91>,O_SELECTED,<O_SELECTED | 91>,1.0,0.0,7
<O_CANCELLED | 92>,O_SELECTED,<O_SELECTED | 92>,1.0,0.0,3
<O_CANCELLED | 93>,O_SELECTED,<O_SELECTED | 63>,1.0,0.0,4
<O_CANCELLED | 94>,O_SELECTED,<O_SELECTED | 22>,1.0,0.0,1
<O_CANCELLED | 96>,O_SELECTED,<O_SELECTED | 21>,0.25,0.0,1
<O_CANCELLED | 96>,O_SELECTED,<O_SELECTED | 96>,0.75,0.0,3
<O_CANCELLED | 98>,O_SELECTED,<O_SELECTED | 32>,1.0,0.0,1
<O_CANCELLED | 99>,O_SELECTED,<O_SELECTED | 22>,0.3333333333333333,0.0,1
<O_CANCELLED | 99>,O_SELECTED,<O_SELECTED | 99>,0.6666666666666666,0.0,2
<O_CANCELLED | 9>,O_SELECTED,<O_SELECTED | 45>,0.23076923076923078,0.0,3
<O_CANCELLED | 9>,O_SELECTED,<O_SELECTED | 66>,0.38461538461538464,0.0,5
<O_CANCELLED | 9>,O_SELECTED,<O_SELECTED | 96>,0.38461538461538464,0.0,5
<O_CREATED | 0>,O_SENT,<O_ACCEPTED | 60>,0.022727272727272728,0.0,3
<O_CREATED | 0>,O_SENT,<O_SENT | 0>,0.015151515151515152,0.0,2
<O_CREATED | 0>,O_SENT,<O_SENT | 60>,0.9545454545454546,0.0,126
<O_CREATED | 0>,O_SENT,<O_SENT_BACK | 60>,0.007575757575757576,0.0,1
<O_CREATED | 12>,O_SENT,<O_DECLINED | 12>,0.00625,0.0,1
<O_CREATED | 12>,O_SENT,<O_SENT | 12>,0.81875,0.0,131
<O_CREATED | 12>,O_SENT,<O_SENT | 8>,0.15,0.0,24
<O_CREATED | 12>,O_SENT,<O_SENT_BACK | 12>,0.0125,0.0,2
<O_CREATED | 12>,O_SENT,<O_SENT_BACK | 8>,0.0125,0.0,2
<O_CREATED | 14>,O_SENT,<O_SENT | 14>,0.9285714285714286,0.0,13
<O_CREATED | 14>,O_SENT,<O_SENT | 92>,0.07142857142857142,0.0,1
<O_CREATED | 15>,O_SENT,<O_SENT | 15>,0.23214285714285715,0.0,13
<O_CREATED | 15>,O_SENT,<O_SENT | 46>,0.75,0.0,42
<O_CREATED | 15>,O_SENT,<O_SENT_BACK | 46>,0.017857142857142856,0.0,1
<O_CREATED | 16>,O_SENT,<O_SENT | 16>,0.84,0.0,21
<O_CREATED | 16>,O_SENT,<O_SENT | 27>,0.16,0.0,4
<O_CREATED | 19>,O_SENT,<O_SENT | 19>,0.8461538461538461,0.0,22
<O_CREATED | 19>,O_SENT,<O_SENT | 91>,0.15384615384615385,0.0,4
<O_CREATED | 1>,O_SENT,<O_SENT | 1>,0.7333333333333333,0.0,33
<O_CREATED | 1>,O_SENT,<O_SENT | 64>,0.044444444444444446,0.0,2
<O_CREATED | 1>,O_SENT,<O_SENT | 66>,0.2222222222222222,0.0,10
<O_CREATED | 21>,O_SENT,<O_ACCEPTED | 4>,0.023255813953488372,0.0,1
<O_CREATED | 21>,O_SENT,<O_SENT | 21>,0.8837209302325582,0.0,38
<O_CREATED | 21>,O_SENT,<O_SENT | 4>,0.09302325581395349,0.0,4
<O_CREATED | 22>,O_SENT,<O_SENT | 22>,0.8421052631578947,0.0,16
<O_CREATED | 22>,O_SENT,<O_SENT | 3>,0.05263157894736842,0.0,1
<O_CREATED | 22>,O_SENT,<O_SENT | 92>,0.10526315789473684,0.0,2
<O_CREATED | 24>,O_SENT,<O_ACCEPTED | 24>,0.02040816326530612,0.0,1
<O_CREATED | 24>,O_SENT,<O_SENT | 24>,0.8367346938775511,0.0,41
<O_CREATED | 24>,O_SENT,<O_SENT | 82>,0.14285714285714285,0.0,7
<O_CREATED | 27>,O_SENT,<O_SENT | 27>,0.9166666666666666,0.0,22
<O_CREATED | 27>,O_SENT,<O_SENT | 52>,0.08333333333333333,0.0,2
<O_CREATED | 28>,O_SENT,<O_SENT | 28>,1.0,0.0,12
<O_CREATED | 31>,O_SENT,<O_SENT | 31>,1.0,0.0,23
<O_CREATED | 32>,O_SENT,<O_ACCEPTED | 32>,0.14285714285714285,0.0,1
<O_CREATED | 32>,O_SENT,<O_SENT | 32>,0.8571428571428571,0.0,6
<O_CREATED | 33>,O_SENT,<O_DECLINED | 47>,0.0012106537530266344,0.0,1
<O_CREATED | 33>,O_SENT,<O_DECLINED | 76>,0.006053268765133172,0.0,5
<O_CREATED | 33>,O_SENT,<O_SENT | 11>,0.9612590799031477,0.0,794
<O_CREATED | 33>,O_SENT,<O_SENT | 47>,0.007263922518159807,0.0,6
<O_CREATED | 33>,O_SENT,<O_SENT_BACK | 47>,0.002421307506053269,0.0,2
<O_CREATED | 33>,O_SENT,<O_SENT_BACK | 76>,0.021791767554479417,0.0,18
<O_CREATED | 34>,O_SENT,<O_SENT | 14>,0.03571428571428571,0.0,1
<O_CREATED | 34>,O_SENT,<O_SENT | 34>,0.9642857142857143,0.0,27
<O_CREATED | 3>,O_SENT,<O_SENT | 3>,1.0,0.0,7
<O_CREATED | 42>,O_SENT,<O_SENT | 42>,0.9027777777777778,0.0,65
<O_CREATED | 42>,O_SENT,<O_SENT | 9>,0.09722222222222222,0.0,7
<O_CREATED | 45>,O_SENT,<O_SENT | 45>,0.8108108108108109,0.0,30
<O_CREATED | 45>,O_SENT,<O_SENT | 66>,0.16216216216216217,0.0,6
<O_CREATED | 45>,O_SENT,<O_SENT | 96>,0.02702702702702703,0.0,1
