s,a,s',p_r,reward,number_occurrences,q,scale_factor,policy
<>,START,<START>,1.0,0.0,10469,0.23289615582681408,1.0,1
<A_ACCEPTED | 0>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,10,0.0006966924226356109,0.0906594777770402,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.0909090909090909,0.0,1,0.0039909338032705745,0.09966799462495579,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 124>,0.0909090909090909,0.0,1,0.0039909338032705745,0.09966799462495579,0
<A_ACCEPTED | 37>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.6363636363636364,0.0,7,0.0039909338032705745,0.09966799462495579,0
<A_ACCEPTED | 56>,A_DECLINED,<A_DECLINED | 48>,1.0,0.0,9,0.0006273503177336424,0.08163609986431497,0
<A_ACCEPTED | 56>,O_SELECTED,<O_SELECTED | 48>,1.0,0.0,2567,0.23969243449362038,1.0,1
<A_ACCEPTED | 56>,W_Complete_preaccepted_appl,<A_CANCELLED | 48>,0.1379310344827586,0.0,4,0.013775865686539187,0.25769358918141627,0
<A_ACCEPTED | 56>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 48>,0.8620689655172413,0.0,25,0.013775865686539187,0.25769358918141627,0
<A_ACTIVATED | 111>,END,<END | 135>,0.0714285714285714,0.5300743297762837,2,0.09459240982822151,0.24918667633945102,1
<A_ACTIVATED | 111>,END,<END | 84>,0.9285714285714286,0.3680300107221379,26,0.09459240982822151,0.24918667633945102,1
<A_ACTIVATED | 112>,END,<END | 33>,0.4003984063745019,0.4941099690632866,201,0.4232506005715677,0.9997827005501244,1
<A_ACTIVATED | 112>,END,<END | 53>,0.0438247011952191,1.0,22,0.4232506005715677,0.9997827005501244,1
<A_ACTIVATED | 112>,END,<END | 73>,0.5557768924302788,0.3268884507013655,279,0.4232506005715677,0.9997827005501244,1
<A_ACTIVATED | 112>,W_Call_missing_information,<W_Call_missing_information | 73>,1.0,0.0,1,2.701408604643277e-05,0.009090658660920847,0
<A_ACTIVATED | 12>,END,<END | 103>,0.7304492512479202,0.3399443064706741,439,0.4750782071425804,0.9999640773847007,1
<A_ACTIVATED | 12>,END,<END | 3>,0.0632279534109817,0.3944514530204065,38,0.4750782071425804,0.9999640773847007,1
<A_ACTIVATED | 12>,END,<END | 53>,0.1996672212978369,0.9999999999999972,120,0.4750782071425804,0.9999640773847007,1
<A_ACTIVATED | 12>,END,<END | 73>,0.0066555740432612,0.3268884507013666,4,0.4750782071425804,0.9999640773847007,1
<A_ACTIVATED | 12>,W_Assess_application,<W_Assess_application | 103>,1.0,0.0,2,0.00011235352120569403,0.018179814940573413,0
<A_ACTIVATED | 139>,END,<END | 21>,0.9411764705882352,0.3783272303662036,16,0.05864466545601604,0.1533266937154637,1
<A_ACTIVATED | 139>,END,<END | 83>,0.0588235294117647,0.4489544324666613,1,0.05864466545601604,0.1533266937154637,1
<A_ACTIVATED | 22>,END,<END | 33>,0.2478632478632478,0.4941099690632863,29,0.362159318398129,0.7870516418910123,1
<A_ACTIVATED | 22>,END,<END | 83>,0.7521367521367521,0.4489544324666618,88,0.362159318398129,0.7870516418910123,1
<A_ACTIVATED | 36>,A_REGISTERED,<A_REGISTERED | 36>,1.0,0.0,1,3.259749761782929e-05,0.009090658660920847,1
<A_ACTIVATED | 69>,END,<END | 21>,0.0588235294117647,0.3783272303662034,2,0.19077458143389753,0.2996098372935434,1
<A_ACTIVATED | 69>,END,<END | 27>,0.9411764705882352,0.652894392736527,32,0.19077458143389753,0.2996098372935434,1
<A_ACTIVATED | 72>,END,<END | 3>,0.7318181818181818,0.3944514530204063,161,0.40943155947173904,0.9640275800758169,1
<A_ACTIVATED | 72>,END,<END | 53>,0.059090909090909,1.0,13,0.40943155947173904,0.9640275800758169,1
<A_ACTIVATED | 72>,END,<END | 84>,0.209090909090909,0.3680300107221379,46,0.40943155947173904,0.9640275800758169,1
<A_ACTIVATED | 72>,W_Call_after_offer,<W_Call_after_offer | 84>,1.0,0.0,1,3.0414027647615046e-05,0.009090658660920847,0
<A_ACTIVATED | 79>,END,<END | 135>,0.9387755102040816,0.5300743297762833,138,0.46530010248164616,0.8707960647337568,1
<A_ACTIVATED | 79>,END,<END | 21>,0.0068027210884353,0.3783272303662034,1,0.46530010248164616,0.8707960647337568,1
<A_ACTIVATED | 79>,END,<END | 27>,0.0476190476190476,0.6528943927365275,7,0.46530010248164616,0.8707960647337568,1
<A_ACTIVATED | 79>,END,<END | 83>,0.0068027210884353,0.4489544324666613,1,0.46530010248164616,0.8707960647337568,1
<A_ACTIVATED | 9>,END,<END | 101>,0.9346733668341708,0.4882722350195552,186,0.4641001716591594,0.9477393929889745,1
<A_ACTIVATED | 9>,END,<END | 135>,0.0351758793969849,0.5300743297762837,7,0.4641001716591594,0.9477393929889745,1
<A_ACTIVATED | 9>,END,<END | 33>,0.0251256281407035,0.494109969063286,5,0.4641001716591594,0.9477393929889745,1
<A_ACTIVATED | 9>,END,<END | 83>,0.0050251256281407,0.4489544324666613,1,0.4641001716591594,0.9477393929889745,1
<A_ACTIVATED | 9>,W_Call_missing_information,<W_Call_missing_information | 88>,1.0,0.0,1,3.2640553690427764e-06,0.009090658660920847,0
<A_APPROVED | 108>,A_REGISTERED,<A_REGISTERED | 46>,0.9591836734693876,0.0,141,0.3370115317962063,0.8707960647337568,1
<A_APPROVED | 108>,A_REGISTERED,<A_REGISTERED | 70>,0.0408163265306122,0.0,6,0.3370115317962063,0.8707960647337568,1
<A_APPROVED | 119>,A_REGISTERED,<A_REGISTERED | 125>,0.6944444444444444,0.0,25,0.04677495847900886,0.3160680763908785,1
<A_APPROVED | 119>,A_REGISTERED,<A_REGISTERED | 139>,0.1944444444444444,0.0,7,0.04677495847900886,0.3160680763908785,1
<A_APPROVED | 119>,A_REGISTERED,<A_REGISTERED | 70>,0.1111111111111111,0.0,4,0.04677495847900886,0.3160680763908785,1
<A_APPROVED | 134>,A_REGISTERED,<A_REGISTERED | 30>,1.0,0.0,1,0.003960366783416728,0.009090658660920847,1
<A_APPROVED | 18>,A_REGISTERED,<A_REGISTERED | 107>,0.0346534653465346,0.0,7,0.4082475815309885,0.9504448843015169,1
<A_APPROVED | 18>,A_REGISTERED,<A_REGISTERED | 125>,0.0198019801980198,0.0,4,0.4082475815309885,0.9504448843015169,1
<A_APPROVED | 18>,A_REGISTERED,<A_REGISTERED | 30>,0.9405940594059404,0.0,190,0.4082475815309885,0.9504448843015169,1
<A_APPROVED | 18>,A_REGISTERED,<A_REGISTERED | 46>,0.0049504950495049,0.0,1,0.4082475815309885,0.9504448843015169,1
<A_APPROVED | 29>,A_REGISTERED,<A_REGISTERED | 41>,0.9696969696969696,0.0,608,0.47061976919366705,0.9999776092809898,1
<A_APPROVED | 29>,A_REGISTERED,<A_REGISTERED | 96>,0.0303030303030303,0.0,19,0.47061976919366705,0.9999776092809898,1
<A_APPROVED | 36>,A_ACTIVATED,<A_ACTIVATED | 36>,1.0,0.0,1,2.963327240438665e-07,0.009090658660920847,1
<A_APPROVED | 44>,A_REGISTERED,<A_REGISTERED | 70>,1.0,0.0,35,0.026465742616560328,0.30786198741775384,1
<A_APPROVED | 47>,A_REGISTERED,<A_REGISTERED | 107>,0.7910447761194029,0.0,159,0.3407855925237995,0.9495585731558549,1
<A_APPROVED | 47>,A_REGISTERED,<A_REGISTERED | 125>,0.2039800995024875,0.0,41,0.3407855925237995,0.9495585731558549,1
<A_APPROVED | 47>,A_REGISTERED,<A_REGISTERED | 30>,0.0049751243781094,0.0,1,0.3407855925237995,0.9495585731558549,1
<A_APPROVED | 51>,A_REGISTERED,<A_REGISTERED | 51>,1.0,0.0,1,3.926049861657296e-05,0.009090658660920847,1
<A_APPROVED | 55>,A_REGISTERED,<A_REGISTERED | 125>,1.0,0.0,3,0.005407050357410372,0.027265967450698758,1
<A_APPROVED | 71>,A_REGISTERED,<A_REGISTERED | 107>,0.1758793969849246,0.0,70,0.417386146594965,0.9985611860083992,1
<A_APPROVED | 71>,A_REGISTERED,<A_REGISTERED | 94>,0.8241206030150754,0.0,328,0.417386146594965,0.9985611860083992,1
<A_APPROVED | 82>,A_REGISTERED,<A_REGISTERED | 111>,0.0390243902439024,0.0,8,0.3540593968599546,0.9530136931831887,1
<A_APPROVED | 82>,A_REGISTERED,<A_REGISTERED | 41>,0.024390243902439,0.0,5,0.3540593968599546,0.9530136931831887,1
<A_APPROVED | 82>,A_REGISTERED,<A_REGISTERED | 96>,0.9365853658536586,0.0,192,0.3540593968599546,0.9530136931831887,1
<A_APPROVED | 90>,A_REGISTERED,<A_REGISTERED | 111>,1.0,0.0,14,0.0023634605614476873,0.12658994828359837,1
<A_CANCELLED | 0>,END,<END | 0>,1.0,0.040135950637821,127,0.03288155020563611,0.819254301520171,1
<A_CANCELLED | 102>,O_CANCELLED,<O_CANCELLED | 85>,1.0,0.0,4,0.00016255047015676857,0.0363476167876613,1
<A_CANCELLED | 10>,O_CANCELLED,<O_CANCELLED | 121>,1.0,0.0,14,0.0015951783756971826,0.12658994828359837,1
<A_CANCELLED | 110>,O_CANCELLED,<O_CANCELLED | 17>,1.0,0.0,3,2.2711966684987842e-05,0.027265967450698758,1
<A_CANCELLED | 114>,END,<END | 80>,1.0,0.0305501198692428,8,0.0022179178990883197,0.07259931903970274,0
<A_CANCELLED | 114>,O_CANCELLED,<O_CANCELLED | 80>,1.0,0.0,16,0.003796569460681666,0.14443735771310517,1
<A_CANCELLED | 116>,O_CANCELLED,<O_CANCELLED | 116>,1.0,0.0,1,5.289838966184442e-06,0.009090658660920847,1
<A_CANCELLED | 117>,O_CANCELLED,<O_CANCELLED | 117>,0.6153846153846154,0.0,8,0.000724296850462279,0.11763466194590655,1
<A_CANCELLED | 117>,O_CANCELLED,<O_CANCELLED | 121>,0.3846153846153846,0.0,5,0.000724296850462279,0.11763466194590655,1
<A_CANCELLED | 11>,O_CANCELLED,<O_CANCELLED | 120>,1.0,0.0,5,8.223047356621622e-05,0.04542326652127837,1
<A_CANCELLED | 123>,END,<END | 92>,1.0,0.0082682392698639,1,7.516374092915413e-05,0.009090658660920847,1
<A_CANCELLED | 124>,END,<END | 105>,1.0,0.0310294428193743,7,0.0019719397779526067,0.06355060222742248,1
<A_CANCELLED | 126>,O_CANCELLED,<O_CANCELLED | 120>,1.0,0.0,1,1.6456966307479643e-05,0.009090658660920847,1
<A_CANCELLED | 128>,O_CANCELLED,<O_CANCELLED | 128>,1.0,0.0,1,3.3088732182805134e-06,0.009090658660920847,1
<A_CANCELLED | 130>,O_CANCELLED,<O_CANCELLED | 121>,1.0,0.0,2,0.00022908649589152777,0.018179814940573413,1
<A_CANCELLED | 131>,END,<END | 105>,1.0,0.0310294428193743,198,0.02937886303665305,0.9468060128462683,1
<A_CANCELLED | 131>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 105>,1.0,0.0,15,0.0007932081110712633,0.1355246470766871,0
<A_CANCELLED | 134>,O_CANCELLED,<O_CANCELLED | 85>,1.0,0.0,3,0.00012193635291914843,0.027265967450698758,1
<A_CANCELLED | 138>,END,<END | 122>,1.0,0.0248450767621351,20,0.004468158941221514,0.17984081852510791,1
<A_CANCELLED | 138>,O_CANCELLED,<O_CANCELLED | 122>,0.6666666666666666,0.0,4,0.0007083423850627104,0.0544914241794795,0
<A_CANCELLED | 138>,O_CANCELLED,<O_CANCELLED | 68>,0.1666666666666666,0.0,1,0.0007083423850627104,0.0544914241794795,0
<A_CANCELLED | 138>,O_CANCELLED,<O_CANCELLED | 80>,0.1666666666666666,0.0,1,0.0007083423850627104,0.0544914241794795,0
<A_CANCELLED | 13>,O_CANCELLED,<O_CANCELLED | 121>,1.0,0.0,9,0.0010287083843977163,0.08163609986431497,1
<A_CANCELLED | 14>,END,<END | 105>,1.0,0.0310294428193742,94,0.02151695342535655,0.6934366675743777,1
<A_CANCELLED | 14>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 105>,1.0,0.0,3,0.00015958415686455368,0.027265967450698758,0
<A_CANCELLED | 16>,O_CANCELLED,<O_CANCELLED | 92>,1.0,0.0,1,2.0494121136470705e-06,0.009090658660920847,1
<A_CANCELLED | 1>,O_CANCELLED,<O_CANCELLED | 121>,0.8571428571428571,0.0,12,0.0014481705975386413,0.12658994828359837,1
<A_CANCELLED | 1>,O_CANCELLED,<O_CANCELLED | 85>,0.1428571428571428,0.0,2,0.0014481705975386413,0.12658994828359837,1
<A_CANCELLED | 20>,O_CANCELLED,<O_CANCELLED | 20>,1.0,0.0,1,3.368800711656603e-06,0.009090658660920847,1
<A_CANCELLED | 24>,END,<END | 80>,0.6,0.0305501198692428,3,0.0012680148225464889,0.04542326652127837,0
<A_CANCELLED | 24>,END,<END | 91>,0.4,0.023963659686163,2,0.0012680148225464889,0.04542326652127837,0
<A_CANCELLED | 24>,O_CANCELLED,<O_CANCELLED | 80>,1.0,0.0,123,0.021210488547852954,0.8069355646942113,1
<A_CANCELLED | 25>,O_CANCELLED,<O_CANCELLED | 121>,1.0,0.0,4,0.00045802161304238007,0.0363476167876613,1
<A_CANCELLED | 26>,O_CANCELLED,<O_CANCELLED | 121>,1.0,0.0,1,0.00011455271380835293,0.009090658660920847,1
<A_CANCELLED | 2>,O_CANCELLED,<O_CANCELLED | 136>,1.0,0.0,141,0.02252281542073482,0.85696858645347,1
<A_CANCELLED | 2>,W_Call_after_offer,<W_Call_after_offer | 136>,1.0,0.0,1,2.1719432689965484e-06,0.009090658660920847,0
<A_CANCELLED | 31>,O_CANCELLED,<O_CANCELLED | 31>,0.5714285714285714,0.0,4,0.0003314135853790715,0.06355060222742248,1
<A_CANCELLED | 31>,O_CANCELLED,<O_CANCELLED | 52>,0.1428571428571428,0.0,1,0.0003314135853790715,0.06355060222742248,1
<A_CANCELLED | 31>,O_CANCELLED,<O_CANCELLED | 68>,0.1428571428571428,0.0,1,0.0003314135853790715,0.06355060222742248,1
<A_CANCELLED | 31>,O_CANCELLED,<O_CANCELLED | 89>,0.1428571428571428,0.0,1,0.0003314135853790715,0.06355060222742248,1
<A_CANCELLED | 31>,W_Call_after_offer,<W_Call_after_offer | 31>,1.0,0.0,1,8.769420462552333e-06,0.009090658660920847,0
<A_CANCELLED | 36>,O_CANCELLED,<O_CANCELLED | 36>,1.0,0.0,2,3.025390192386025e-05,0.018179814940573413,1
<A_CANCELLED | 37>,END,<END | 105>,0.3814432989690721,0.0310294428193742,74,0.03470385608522082,0.9429077576429616,1
<A_CANCELLED | 37>,END,<END | 37>,0.6185567010309279,0.0403668268858611,120,0.03470385608522082,0.9429077576429616,1
<A_CANCELLED | 37>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 105>,0.5,0.0,3,0.005348085249183146,0.0544914241794795,0
<A_CANCELLED | 37>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 37>,0.5,0.0,3,0.005348085249183146,0.0544914241794795,0
<A_CANCELLED | 39>,O_CANCELLED,<O_CANCELLED | 120>,1.0,0.0,4,6.580067816242604e-05,0.0363476167876613,1
<A_CANCELLED | 40>,O_CANCELLED,<O_CANCELLED | 85>,1.0,0.0,1,4.065440790794864e-05,0.009090658660920847,1
<A_CANCELLED | 43>,O_CANCELLED,<O_CANCELLED | 136>,0.3772241992882562,0.0,106,0.02452446488251286,0.9879894172760632,1
<A_CANCELLED | 43>,O_CANCELLED,<O_CANCELLED | 89>,0.6227758007117438,0.0,175,0.02452446488251286,0.9879894172760632,1
<A_CANCELLED | 43>,W_Call_after_offer,<W_Call_after_offer | 89>,1.0,0.0,3,2.3724461324920954e-05,0.027265967450698758,0
<A_CANCELLED | 48>,END,<END | 48>,1.0,0.0407411224276392,44,0.015479547187494582,0.3799489622552249,1
<A_CANCELLED | 49>,O_CANCELLED,<O_CANCELLED | 120>,1.0,0.0,2,3.2911212829866114e-05,0.018179814940573413,1
<A_CANCELLED | 4>,O_CANCELLED,<O_CANCELLED | 4>,1.0,0.0,3,3.0244035654043273e-05,0.027265967450698758,1
<A_CANCELLED | 50>,O_CANCELLED,<O_CANCELLED | 92>,1.0,0.0,2,4.098485528143136e-06,0.018179814940573413,1
<A_CANCELLED | 51>,O_CANCELLED,<O_CANCELLED | 51>,1.0,0.0,7,0.00011389120661772949,0.06355060222742248,1
<A_CANCELLED | 56>,END,<END | 56>,1.0,0.0404807527708344,266,0.03984331229074533,0.9842532453954677,1
<A_CANCELLED | 56>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 56>,1.0,0.0,6,0.012843395645756279,0.0544914241794795,0
<A_CANCELLED | 58>,END,<END | 17>,0.5256410256410257,0.0261198672023346,41,0.015363391044669633,0.6101064492231498,1
<A_CANCELLED | 58>,END,<END | 80>,0.0128205128205128,0.0305501198692428,1,0.015363391044669633,0.6101064492231498,1
<A_CANCELLED | 58>,END,<END | 91>,0.4615384615384615,0.023963659686163,36,0.015363391044669633,0.6101064492231498,1
<A_CANCELLED | 5>,O_CANCELLED,<O_CANCELLED | 85>,1.0,0.0,2,8.130209700451163e-05,0.018179814940573413,1
<A_CANCELLED | 60>,O_CANCELLED,<O_CANCELLED | 60>,1.0,0.0,1,3.0668351906502816e-08,0.009090658660920847,1
<A_CANCELLED | 62>,END,<END | 121>,1.0,0.029334827795196,1,0.00026667290636302014,0.009090658660920847,0
<A_CANCELLED | 62>,O_CANCELLED,<O_CANCELLED | 121>,1.0,0.0,3,0.00034358242703740174,0.027265967450698758,1
<A_CANCELLED | 63>,O_CANCELLED,<O_CANCELLED | 85>,1.0,0.0,6,0.0002436915375121138,0.0544914241794795,1
<A_CANCELLED | 64>,O_CANCELLED,<O_CANCELLED | 136>,1.0,0.0,309,0.02609178004191261,0.992763801633251,1
<A_CANCELLED | 65>,O_CANCELLED,<O_CANCELLED | 121>,1.0,0.0,6,0.000686654372567672,0.0544914241794795,1
<A_CANCELLED | 67>,END,<END | 52>,1.0,0.0246458030920519,6,0.0013429849105329275,0.0544914241794795,1
<A_CANCELLED | 67>,O_CANCELLED,<O_CANCELLED | 52>,0.6666666666666666,0.0,4,0.00016711301278902931,0.0544914241794795,0
<A_CANCELLED | 67>,O_CANCELLED,<O_CANCELLED | 68>,0.3333333333333333,0.0,2,0.00016711301278902931,0.0544914241794795,0
<A_CANCELLED | 6>,END,<END | 68>,1.0,0.0254277181245623,15,0.0034460825247967855,0.1355246470766871,1
<A_CANCELLED | 6>,O_CANCELLED,<O_CANCELLED | 122>,0.1111111111111111,0.0,3,0.0017881730828856511,0.24064113506740503,0
<A_CANCELLED | 6>,O_CANCELLED,<O_CANCELLED | 68>,0.8888888888888888,0.0,24,0.0017881730828856511,0.24064113506740503,0
<A_CANCELLED | 74>,O_CANCELLED,<O_CANCELLED | 136>,0.3818181818181818,0.0,21,0.011475923543542224,0.4621171572600098,1
<A_CANCELLED | 74>,O_CANCELLED,<O_CANCELLED | 89>,0.6181818181818182,0.0,34,0.011475923543542224,0.4621171572600098,1
<A_CANCELLED | 76>,END,<END | 52>,1.0,0.0246458030920519,1,0.00022404658333411142,0.009090658660920847,1
<A_CANCELLED | 76>,O_CANCELLED,<O_CANCELLED | 52>,0.6666666666666666,0.0,4,0.00016711301278902931,0.0544914241794795,0
<A_CANCELLED | 76>,O_CANCELLED,<O_CANCELLED | 68>,0.3333333333333333,0.0,2,0.00016711301278902931,0.0544914241794795,0
<A_CANCELLED | 77>,O_CANCELLED,<O_CANCELLED | 120>,0.2857142857142857,0.0,2,0.0003807955255993575,0.06355060222742248,1
<A_CANCELLED | 77>,O_CANCELLED,<O_CANCELLED | 121>,0.4285714285714285,0.0,3,0.0003807955255993575,0.06355060222742248,1
<A_CANCELLED | 77>,O_CANCELLED,<O_CANCELLED | 77>,0.2857142857142857,0.0,2,0.0003807955255993575,0.06355060222742248,1
<A_CANCELLED | 78>,END,<END | 78>,1.0,0.0408730178327933,1,0.0003715626535596546,0.009090658660920847,1
<A_CANCELLED | 81>,O_CANCELLED,<O_CANCELLED | 85>,1.0,0.0,6,0.0002436915375121138,0.0544914241794795,1
<A_CANCELLED | 87>,END,<END | 122>,0.3604651162790697,0.0248450767621351,31,0.0158850585210289,0.6537490568253829,1
<A_CANCELLED | 87>,END,<END | 68>,0.0116279069767441,0.0254277181245623,1,0.0158850585210289,0.6537490568253829,1
<A_CANCELLED | 87>,END,<END | 91>,0.627906976744186,0.023963659686163,54,0.0158850585210289,0.6537490568253829,1
<A_CANCELLED | 87>,O_CANCELLED,<O_CANCELLED | 122>,0.5466666666666666,0.0,41,0.009234530848164986,0.5927001329955615,0
<A_CANCELLED | 87>,O_CANCELLED,<O_CANCELLED | 68>,0.04,0.0,3,0.009234530848164986,0.5927001329955615,0
<A_CANCELLED | 87>,O_CANCELLED,<O_CANCELLED | 80>,0.3466666666666667,0.0,26,0.009234530848164986,0.5927001329955615,0
<A_CANCELLED | 87>,O_CANCELLED,<O_CANCELLED | 91>,0.0666666666666666,0.0,5,0.009234530848164986,0.5927001329955615,0
<A_CANCELLED | 8>,END,<END | 122>,1.0,0.0248450767621351,2,0.000451678897719957,0.018179814940573413,0
<A_CANCELLED | 8>,O_CANCELLED,<O_CANCELLED | 122>,0.75,0.0,12,0.0021610172581398397,0.14443735771310517,1
<A_CANCELLED | 8>,O_CANCELLED,<O_CANCELLED | 80>,0.25,0.0,4,0.0021610172581398397,0.14443735771310517,1
<A_CANCELLED | 93>,O_CANCELLED,<O_CANCELLED | 89>,0.8518518518518519,0.0,23,0.004954157838236233,0.24064113506740503,1
<A_CANCELLED | 93>,O_CANCELLED,<O_CANCELLED | 93>,0.1481481481481481,0.0,4,0.004954157838236233,0.24064113506740503,1
<A_CANCELLED | 93>,W_Call_after_offer,<W_Call_after_offer | 89>,1.0,0.0,1,7.909896474755281e-06,0.009090658660920847,0
<A_CANCELLED | 97>,O_CANCELLED,<O_CANCELLED | 121>,1.0,0.0,1,0.00011455271380835293,0.009090658660920847,1
<A_CANCELLED | 98>,O_CANCELLED,<O_CANCELLED | 85>,1.0,0.0,4,0.00016255047015676857,0.0363476167876613,1
<A_DECLINED | 0>,END,<END | 0>,1.0,0.040135950637821,458,0.04011654312231767,0.9995164555667695,1
<A_DECLINED | 124>,END,<END | 124>,1.0,0.0408219594383809,2,0.000742135668101359,0.018179814940573413,1
<A_DECLINED | 131>,END,<END | 131>,0.868421052631579,0.0406856176817887,33,0.013508658550045273,0.3323382560585163,1
<A_DECLINED | 131>,END,<END | 14>,0.131578947368421,0.0403945348969625,5,0.013508658550045273,0.3323382560585163,1
<A_DECLINED | 14>,END,<END | 14>,1.0,0.0403945348969625,13,0.004751797457066309,0.11763466194590655,1
<A_DECLINED | 37>,END,<END | 37>,1.0,0.0403668268858611,110,0.03074313945074986,0.7615941559557649,1
<A_DECLINED | 45>,END,<END | 42>,0.0157336260519575,0.0365693163455213,43,0.040098621226064085,1.0,1
<A_DECLINED | 45>,END,<END | 45>,0.9842663739480424,0.0401550376237828,2690,0.040098621226064085,1.0,1
<A_DECLINED | 48>,END,<END | 48>,1.0,0.0407411224276392,21,0.007684716917838352,0.1886231026522961,1
<A_DECLINED | 56>,END,<END | 56>,1.0,0.0404807527708344,258,0.03974441899469795,0.9818102746185353,1
<A_DECLINED | 78>,END,<END | 42>,1.0,0.0365693163455213,1851,0.036569316345521116,0.9999999999999951,1
<A_FINALIZED | 124>,O_CREATED,<O_CREATED | 127>,0.0031948881789137,0.0,1,0.12720047346340405,0.9932696810535755,1
<A_FINALIZED | 124>,O_CREATED,<O_CREATED | 59>,0.9968051118210862,0.0,312,0.12720047346340405,0.9932696810535755,1
<A_FINALIZED | 35>,O_CREATED,<O_CREATED | 28>,0.9881433575855564,0.0,3667,0.2435449074309363,1.0,1
<A_FINALIZED | 35>,O_CREATED,<O_CREATED | 59>,0.0118566424144435,0.0,44,0.2435449074309363,1.0,1
<A_PARTLYSUBMITTED | 99>,A_DECLINED,<A_DECLINED | 45>,1.0,0.0,2690,0.040098621226064085,1.0,0
<A_PARTLYSUBMITTED | 99>,A_PREACCEPTED,<A_PREACCEPTED | 45>,1.0,0.0,3820,0.2317928394567826,1.0,0
<A_PARTLYSUBMITTED | 99>,W_Assess_fraud,<W_Assess_fraud | 45>,1.0,0.0,54,0.010560708504688472,0.4549376686972365,0
<A_PARTLYSUBMITTED | 99>,W_Fix_incomplete_submission,<W_Fix_incomplete_submission | 45>,1.0,0.0,3905,0.23291293539634975,1.0,1
<A_PREACCEPTED | 45>,W_Complete_preaccepted_appl,<A_CANCELLED | 56>,0.0298429319371727,0.0,114,0.23179560475921793,1.0,1
<A_PREACCEPTED | 45>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 86>,0.9701570680628272,0.0,3706,0.23179560475921793,1.0,1
<A_PREACCEPTED | 78>,W_Complete_preaccepted_appl,<A_CANCELLED | 0>,0.0232558139534883,0.0,48,0.23291921220882636,0.9999999999999999,1
<A_PREACCEPTED | 78>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 0>,0.0077519379844961,0.0,16,0.23291921220882636,0.9999999999999999,1
<A_PREACCEPTED | 78>,W_Complete_preaccepted_appl,<W_Complete_preaccepted_appl | 86>,0.9689922480620154,0.0,2000,0.23291921220882636,0.9999999999999999,1
